pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2024000984,1,1,3,0,,,,,75,0,142,4001,14,2024,4,96,3,5,4,2,5,0,3,3,1,5,3,3,5,1,8,2,9,0,0,9,2,23,237,99,99,1,229293,733766
2024000986,1,1,1,7400,609,1020,,10090313,,,,,51,2024,2,96,4,5,3,3,2,0,3,1,1,4,3,6,1,1,9,9,9,0,0,9,4,41,411,0,13,1,186409,689464
2024001004,1,1,2,3000,4773,,9999,,,,,,61,2024,1,43,4,1,6,2,4,0,2,4,1,5,3,1,1,1,9,9,9,0,0,9,1,11,111,0,12,3,220191,634956
2024001008,1,1,4,0,,,,,6,0,1508,,51,2024,2,53,4,1,6,3,7,0,2,8,1,5,3,1,1,1,9,9,9,0,0,9,4,42,421,99,99,1,196068,677428
2024001017,1,1,2,7400,707,,9999,,,,,,51,2024,5,79,4,5,5,3,17,2,0,1,1,2,3,6,1,1,9,9,9,0,0,9,4,41,411,0,13,3,188648,691855
2024001018,1,1,4,0,,,,,40,0,1880,,34,2024,3,81,1,5,1,1,10,3,0,5,1,2,3,3,1,1,9,9,9,0,0,9,6,62,623,99,99,1,181557,579410
2024001033,1,2,2,3826,3105,,9999,,,,,,41,2024,7,79,4,5,5,3,5,3,0,1,1,2,3,10,1,1,9,9,9,0,0,9,7,77,777,99,18,2,203164,669834
2024001041,1,1,2,3000,4106,,101,,,,,,61,2024,3,59,4,1,7,3,1,3,0,1,1,4,4,1,1,1,9,9,9,3,3,1,1,11,111,0,12,2,221411,637403
2024001044,1,1,2,2600,177,,9999,,,,,,33,2024,9,82,4,5,3,3,2,0,3,1,1,2,3,3,1,1,9,9,9,0,0,9,6,62,625,0,15,3,193936,385893
2024001052,1,1,4,0,,,,,3866,0,48,,61,2024,11,66,4,1,3,2,5,2,0,3,1,2,4,1,1,1,9,9,9,0,0,9,1,11,111,99,99,1,202930,628144
2024001064,1,2,3,0,,,,,505,5,366,7147,41,2024,8,91,4,5,5,3,2,0,3,6,1,3,3,3,1,1,9,9,9,0,0,9,7,77,777,99,99,1,215793,668429
2024001072,1,2,4,0,,,,,60,0,1207,,41,2024,6,79,4,1,4,3,5,3,0,4,1,3,3,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,225783,659884
2024001076,1,1,1,70,182,232,,7940011,,,,,38,2024,6,56,4,1,1,3,1,0,2,1,1,2,3,1,1,1,9,9,9,3,3,2,6,61,613,0,13,1,167159,633515
2024001077,1,1,4,0,,,,,672,0,178,,14,2024,4,54,1,1,2,2,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,2,23,236,99,99,1,208132,722530
2024001081,1,1,1,7900,624,326,,9930052,,,,,51,2024,8,61,4,1,4,3,2,0,3,1,1,1,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,1,190073,665320
2024001088,1,1,1,7900,108,124,,9550014,,,,,51,2024,7,25,4,5,4,3,2,0,2,1,1,0,3,6,1,1,9,9,9,0,0,9,4,42,422,0,13,1,189695,666930
2024001114,1,1,2,5000,2604,,7,,,,,,20,2024,7,33,4,1,5,3,2,1,0,1,1,2,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180894,664374
2024001117,1,1,1,4000,199,195,,340131,,,,,12,2024,8,46,4,1,6,3,2,1,0,1,1,5,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,206151,745871
2024001157,1,1,2,4000,958,,23,,,,,,11,2024,12,69,4,5,3,3,4,3,0,1,1,2,3,3,2,2,9,9,9,0,0,9,3,31,311,0,13,1,200383,745095
2024001168,1,1,2,4000,1390,,9999,,,,,,11,2024,9,65,4,1,3,3,5,2,0,1,1,2,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,3,201889,742728
2024001180,1,1,1,70,580,189,,8900001,,,,,38,2024,9,27,4,1,3,3,2,0,3,1,1,4,3,1,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166036,633113
2024001183,1,1,3,0,,,,,444,471,166,4158,51,2024,3,65,4,1,4,2,2,0,3,4,1,5,3,1,1,1,9,9,9,0,0,9,4,42,422,99,99,1,194905,663968
2024001202,1,1,2,5000,1514,,12,,,,,,20,2024,7,37,4,1,3,3,1,3,0,1,1,0,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179591,663351
2024001217,1,1,4,0,,,,,6,0,423,,34,2024,8,12,4,5,5,2,10,1,0,5,1,3,3,3,1,1,6,2,9,0,0,9,6,62,623,99,99,1,188879,581855
2024001228,1,1,2,654,,,9999,,,,,,12,2024,8,83,4,5,5,2,4,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,3,32,323,0,26,2,205020,712373
2024001230,1,1,2,2720,,,9999,,,,,,51,2024,12,67,4,5,7,3,15,3,0,1,1,2,5,6,1,1,9,9,9,0,0,9,4,41,412,0,26,2,195988,682272
2024001232,1,1,1,9000,366,969,,98340153,,,,,34,2024,3,42,4,1,4,3,2,1,0,1,1,3,3,1,1,1,9,9,9,0,0,9,6,62,623,0,13,1,179902,572685
2024001239,1,1,4,0,,,,,65,,613,,14,2024,1,67,4,5,7,2,4,2,0,1,1,3,3,6,1,1,9,9,9,0,0,9,2,22,222,99,99,1,239257,733460
2024001256,1,1,1,9500,208,221,,7530001,,,,,12,2024,9,41,4,1,1,2,2,1,0,1,0,2,3,1,1,1,9,9,9,0,0,9,3,31,311,0,16,1,209476,751788
2024001261,1,1,1,5000,2173,2412,,21270744,,,,,20,2024,8,47,4,1,7,3,2,3,0,1,1,0,5,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178508,661167
2024001273,1,1,1,5000,198,3105,,25050114,,,,,20,2024,1,45,4,1,7,3,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179842,667749
2024001321,1,1,2,5000,4562,,9999,,,,,,20,2024,2,75,4,5,1,3,11,3,0,1,1,1,5,6,9,9,9,9,9,0,0,9,5,51,511,0,13,3,179844,669871
2024001344,1,2,4,0,,,,,505,0,213,,41,2024,4,31,4,1,4,2,2,2,0,4,1,3,3,1,2,2,9,9,9,0,0,9,7,77,777,99,99,1,201243,669035
2024001374,1,1,1,3000,1527,1508,,92871079,,,,,61,2024,2,47,4,1,1,2,1,2,0,1,1,3,3,1,9,1,9,9,9,1,4,1,1,11,111,0,12,1,221083,631069
2024001379,1,1,2,7400,609,,19,,,,,,51,2024,6,16,4,5,1,3,8,0,3,1,1,3,3,3,1,2,2,2,9,0,0,9,4,41,411,0,13,1,186356,688738
2024001380,1,1,4,0,,,,,20,0,88,,20,2024,4,77,1,5,3,3,8,1,0,5,1,5,3,3,5,1,6,9,9,0,0,9,5,51,513,99,99,1,177526,659301
2024001390,1,1,1,7400,303,431,,8660021,,,,,51,2024,4,32,4,1,1,3,1,1,0,1,1,3,3,1,1,1,9,9,9,3,3,1,4,41,411,0,13,1,187041,693147
